"","Species","CB3DR_D100M1","CB3DR_D100M2","CB3DR_D100M3","CB3DR_D100M4","CB3DR_D100M5","CB3DR_DM0-FF","CB3DR_DM0Sach","CB3DR_DM10-FF","CB3DR_DM10-SPD","CB3DR_DM6-SPD","CB3DR_extblank1","CB3DR_extblank2","CB3DR_extblank3","D1000M1","D1000M2","D1000M3","D1000M4","D1000M5","D100M1","D100M2","D100M3","D100M4","D100M5","D250M1","D250M2","D250M4","D250M5","D500M1","D500M2","D500M3","D500M4","D500M5","DLarv2","DLarv3","DLarv4","DLarv5","M2ACV","M2DC","M2FF","M4DC","M4FF","M6FF","POS1","POS2","T10DC","T10FF","T10SPD","T2SPD","T4DC","T4FF","T4SPD","T6DC","T6FF","T6SPD","T8DC","T8FF","T8SPD"
"1","Alaus_melanops",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,59387,59,NA,32,581,20,NA,115
"2","Anthrenus_sinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1260,1294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Apis_mellifera",NA,NA,NA,NA,NA,NA,NA,NA,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Asobara_persimilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53210,353,NA,15,NA,NA,NA,NA,3332,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,NA,NA
"5","Asynonychus_cervinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1702191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,769,NA,NA,NA
"6","Australomisidia_pilula",NA,NA,NA,NA,NA,NA,NA,NA,854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bactrocera_tryoni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,13,NA,NA,NA,NA,39,NA,NA,NA,230,NA,NA,147056,33,13,1401286,NA
"8","Badumna_longinqua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Brachypeplus_Sp",NA,NA,NA,NA,NA,NA,NA,NA,NA,1393,NA,96719,68320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91055,NA,82068,85267,NA,NA
"10","Calliphora_ochracea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,829365,316232,NA,294780,NA,NA,NA,NA,343317,NA,793742,NA,NA,NA,NA,NA,NA,NA,39,NA,NA
